---
Mod (Link) |Description |Downloads |Latest Supported Version
**[AdaPaxels](https://www.curseforge.com/minecraft/mc-mods/adapaxels)**|A multitool which combines pickaxe, axe and shovel. Can make Paths, Strip logs and crack Stone Bricks.|168|1.16.2
**[Adorn](https://www.curseforge.com/minecraft/mc-mods/adorn)**|Decorate your home!|189,015|1.16.2
**[Adv Paxels (Fabric)](https://www.curseforge.com/minecraft/mc-mods/adv-paxels)**|A paxel mod for fabric!|70|1.16.1
**[Advanced Bow System](https://www.curseforge.com/minecraft/mc-mods/advanced-bow-system)**|this mod adds quivers for easier arrow management, new arrows & bows|3,497|1.14.4
**[Advanced NBT Tooltips](https://www.curseforge.com/minecraft/mc-mods/advanced-nbt-tooltips)**|Adds custom tooltips to items based to their NBT data.|85|1.16.1
**[AdvancedChat](https://www.curseforge.com/minecraft/mc-mods/advancedchat)**|A plugin that adds some handy features to Minecraft chat.|1,211|1.16.1
**[AdvancementInfo](https://www.curseforge.com/minecraft/mc-mods/advancementinfo)**|Get better info about advancements|260|1.16.2
**[Advancements Enlarger](https://www.curseforge.com/minecraft/mc-mods/advancements-enlarger)**|To enlarge the advancements window.|53,661|1.16.2
**[AdventureZ](https://www.curseforge.com/minecraft/mc-mods/adventurez)**|a new endboss and other creatures|19,178|1.16.2
**[Aerial Affinity Fabric](https://www.curseforge.com/minecraft/mc-mods/aerial-affinity-fabric)**|Remove mining speed slowdown while airborne|305|1.16-Snapshot
**[Aestheticism](https://www.curseforge.com/minecraft/mc-mods/aestheticism)**|2D Models? How about 3D instead.|13,248|1.14.4
**[AFarmK](https://www.curseforge.com/minecraft/mc-mods/afarmk)**|If you are tired of holding down buttons, I'm here for you. (Fabric/Forge)|1,410|1.15.2
**[AFKPeace](https://www.curseforge.com/minecraft/mc-mods/afkpeace)**|A mod to give you some peace of mind while AFK!|1,215|1.16.2
**[AFKTape (Clientside)](https://www.curseforge.com/minecraft/mc-mods/afktape)**|Get stuff done while AFK!|832|1.16.2
**[Age of Exile](https://www.curseforge.com/minecraft/mc-mods/age-of-exile)**|Diablo in Minecraft!|6,927|1.16.2
**[Agnostos](https://www.curseforge.com/minecraft/mc-mods/agnostos)**|Miscellaneous Additions to Minecraft|519|1.14.4
**[All Stackable](https://www.curseforge.com/minecraft/mc-mods/all-stackable)**|A Fabric Mod that allows you to freely stack items and change the stack size of them.|489|1.16.2
**[All The Creepers](https://www.curseforge.com/minecraft/mc-mods/allthecreepers)**|Here comes the BOOM!|87,014|1.14.2
**[All The Mods Fabric Helper](https://www.curseforge.com/minecraft/mc-mods/all-the-mods-fabric-helper)**|Mod made for All The Mods Fabric to inject our custom resources|692|1.15.2
**[Allure](https://www.curseforge.com/minecraft/mc-mods/allure)**|A mod that ports Quark and Charm features to fabric.|7,497|1.16.2
**[Altcraft Tools](https://www.curseforge.com/minecraft/mc-mods/altcraft-tools)**|Adds tool handles to modify base tool properties. Inspired by TinkersConstruct and Tool Builder.|1,841|1.14.4
**[Always Drop Loot (Fabric)](https://www.curseforge.com/minecraft/mc-mods/always-drop-loot)**|Make mobs always drop exp and loot, regardless of cause of death.|39,307|1.15.2
**[Amecs (Fabric)](https://www.curseforge.com/minecraft/mc-mods/amecs)**|Improves your keys & controls setup by providing modifier keys and making multi-functional keys a thing.|13,512|1.16.2
**[Amethyst Mod (Fabric)](https://www.curseforge.com/minecraft/mc-mods/amethyst-mod-fabric)**|Adds another level of tools and armor.|32,752|1.15.2
**[Amethyst Mod for Fabric](https://www.curseforge.com/minecraft/mc-mods/amethyst-mod-for-fabric-1-16)**|Adds another level of tools and armor.|567|1.16.1
**[Angerable Patch](https://www.curseforge.com/minecraft/mc-mods/angerable-patch)**|Fixes MC-192362 in 1.16.|49|1.16.2
**[AnimalNet](https://www.curseforge.com/minecraft/mc-mods/animalnet)**|Catch mobs and animals with nets|391,124|1.15.2
**[Another Enchant Mod [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/another-enchant-mod)**|It's another enchantment mod for Minecraft Fabric!|122|1.15.2
**[AntiGhost](https://www.curseforge.com/minecraft/mc-mods/antighost)**|Remove Ghost blocks / request the server to resend blocks around the player|125,565|1.16.2
**[Antique Atlas](https://www.curseforge.com/minecraft/mc-mods/antique-atlas)**|Antique map featuring infinite scrolling, zoom and custom labeled markers.|7,243,502|1.16.1
**[Anvil Crushing Recipes](https://www.curseforge.com/minecraft/mc-mods/anvil-crushing-recipes)**|Define what happens when an anvil lands. |143|1.16.2
**[Anvil Fix](https://www.curseforge.com/minecraft/mc-mods/anvil-fix)**|AnvilFix: Vanilla Anvils - but better! It removes the level limit for combining Items|58,157|1.16.1
**[Anvil Recipe](https://www.curseforge.com/minecraft/mc-mods/anvil-recipe)**|A mod that adds the ability to support crafting through the use of an anvil!|68|1.16-Snapshot
**[Anvil Repair](https://www.curseforge.com/minecraft/mc-mods/anvil-repair)**|Repair anvils instead of crafting new ones|224|1.16-Snapshot
**[AOF:Skyblock Custom](https://www.curseforge.com/minecraft/mc-mods/aof-skyblock-custom)**|Custom mod for AOF:Skyblock|80|1.16.1
**[Apple Grind](https://www.curseforge.com/minecraft/mc-mods/apple-grind)**|Allows enchanted golden apples to be grinded in the grindstone.|100|1.15.2
**[AppleSkin](https://www.curseforge.com/minecraft/mc-mods/appleskin)**|Adds some useful information about food/hunger to the HUD|50,570,612|1.16.2
**[AppleZ](https://www.curseforge.com/minecraft/mc-mods/applez)**|Adds some new apples to Minecraft|12,052|1.16.1
**[Appraisal](https://www.curseforge.com/minecraft/mc-mods/appraisal)**|Lore for everything!|13|1.15.1
**[Aquarius](https://www.curseforge.com/minecraft/mc-mods/aquarius)**|More water features!|27,190|1.16.1
**[Arcadia Mod](https://www.curseforge.com/minecraft/mc-mods/arcadiamod)**|This mod add block for Minecraft !|22|1.14.4
**[ArcaneMagic](https://www.curseforge.com/minecraft/mc-mods/arcanemagic)**|A magic mod focused on immersion|14,670|1.14.4
**[ArchCreatia](https://www.curseforge.com/minecraft/mc-mods/archcreatia)**|A magic based industry mod.|3,229|1.16.1
**[Armor Disguise](https://www.curseforge.com/minecraft/mc-mods/armor-disguise)**|Makes use of the Trinkets API to let you disguise your armor.|870|1.15.2
**[Armor Stand Utils](https://www.curseforge.com/minecraft/mc-mods/armor-stand-utils)**|Tweaks armor stands to make them a bit more usable.|2,677|1.16.1
**[Armor Visibility](https://www.curseforge.com/minecraft/mc-mods/armor-visibility)**|Let that skin show!|679|1.16.1
**[Arms Of Fire [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/arms-of-fire)**|A lightweight fabric gun mod|2,088|1.16.1
**[Art of Alchemy](https://www.curseforge.com/minecraft/mc-mods/art-of-alchemy)**|An "industrial magic" mod that allows you to unleash the power of transmutation!|28,978|1.16.1
**[Artis](https://www.curseforge.com/minecraft/mc-mods/artis)**|Extended Crafting mod for Fabric|5,645|1.16.1
**[ASH - Another Simple HUD](https://www.curseforge.com/minecraft/mc-mods/ash-another-simple-hud)**|ASH - Another Simple HUD with FPS count, coordinates and compass|4,989|1.16.1
**[Ash Clay](https://www.curseforge.com/minecraft/mc-mods/ash-clay)**|Self-setting clay from wood ash!|5,613|1.16.1
**[Ash to Ash](https://www.curseforge.com/minecraft/mc-mods/ash-to-ash)**|A FABRIC MOD -- Fire burns things to ash|71|1.14.4
**[Asset Validator](https://www.curseforge.com/minecraft/mc-mods/asset-validator)**|This allows fully working snapshot/pre-release modpacks to be played through Twitch.|15,771|1.16-Snapshot
**[Astromine: Complete](https://www.curseforge.com/minecraft/mc-mods/astromine-main)**|A space-themed technological modification with exploration, weapons and progression in mind.|64,965|1.16.2
**[Astromine: Core](https://www.curseforge.com/minecraft/mc-mods/astromine-core)**|The API module of a space-themed technological modification with exploration, weapons and progression in mind, adding our APIs and libraries.|177|1.16.2
**[Astromine: Discoveries](https://www.curseforge.com/minecraft/mc-mods/astromine-discoveries)**|The exploration content module of a space-themed technological modification with exploration, weapons and progression in mind, adding ores, tools, planets and space.|131|1.16.2
**[Astromine: Foundations](https://www.curseforge.com/minecraft/mc-mods/astromine-foundations)**|The basic content module of a space-themed technological modification with exploration, weapons and progression in mind, adding ores, tools and materials.|165|1.16.2
**[Astromine: Technologies](https://www.curseforge.com/minecraft/mc-mods/astromine-technologies)**|The technologic content module of a space-themed technological modification with exploration, weapons and progression in mind, adding machines, power tools and fun toys.|154|1.16.2
**[Astromine: Transportations](https://www.curseforge.com/minecraft/mc-mods/astromine-transportations)**|The transport content module of a space-themed technological modification with exploration, weapons and progression in mind, adding conveyor belts, pipes and cables.|145|1.16.2
**[Atmosfera](https://www.curseforge.com/minecraft/mc-mods/atmosfera)**|Adds atmospheric sounds to Minecraft!|6,589|1.16.2
**[Attack On Titan for Fabric](https://www.curseforge.com/minecraft/mc-mods/attack-on-titan-for-fabric)**|A mod for Fabric inspired from the anime and manga Attack On Titan|49|1.16.2
**[Audio Output](https://www.curseforge.com/minecraft/mc-mods/audio-output)**|Change the audio device used by minecraft|1,125|1.16.2
**[AuroraKeystrokes](https://www.curseforge.com/minecraft/mc-mods/aurorakeystrokes)**|A Fabric mod which displays the movement keys and mouse clicks on screen.|9,249|1.16.2
**[Auth Me](https://www.curseforge.com/minecraft/mc-mods/auth-me)**|Authenticate yourself and re-validate your session|166,694|1.16.2
**[Auther](https://www.curseforge.com/minecraft/mc-mods/auther)**|Fabric mod that allows you to re-authenticate your session without restarting the game|108|1.16.1
**[Auto Attack Fabric](https://www.curseforge.com/minecraft/mc-mods/auto-attack-fabric)**|enables autoswing whenever attack button is held|205|1.16.1
**[Auto Backup](https://www.curseforge.com/minecraft/mc-mods/auto-backup)**|Allows you to specify a command to run at an interval to provide a backup mechanism|214|1.16.1
**[Auto Config API (Fabric)](https://www.curseforge.com/minecraft/mc-mods/auto-config)**|Annotation based API for mod configs, with Cloth Config GUI integration.|5,550|1.14.4
**[Auto Config Updated API](https://www.curseforge.com/minecraft/mc-mods/auto-config-updated-api)**|Auto Config but updated.|14,723|1.16.2
**[Auto-Run](https://www.curseforge.com/minecraft/mc-mods/auto-run)**|Hands-free walking and sprinting|4,371|1.16.2
**[AutoAFKFish](https://www.curseforge.com/minecraft/mc-mods/autoafkfish)**|Lets you afk-fish easily.|1,818|1.16.1
**[AutoFarmer](https://www.curseforge.com/minecraft/mc-mods/autofarmer)**|automate harvesting and planting|2,768|1.14.2
**[Autofish](https://www.curseforge.com/minecraft/mc-mods/autofish)**|Automatically reels in and recasts your fishing rod when you catch a fish.|118,428|1.16.2
**[AutoHarvest](https://www.curseforge.com/minecraft/mc-mods/autoharvest)**|Automatically harvest and re-plant crops|6,048|1.16.1
**[AutoJson](https://www.curseforge.com/minecraft/mc-mods/autojson)**|Small library that will load external textures and auto generate item, block and sound json files|319|1.14.4
**[Automated Crafting](https://www.curseforge.com/minecraft/mc-mods/automated-crafting)**|Adds a single block that crafts automatically. Has configs to make it more/less complex. |4,189|1.16.2
**[AutoReconnect](https://www.curseforge.com/minecraft/mc-mods/autoreconnect)**|Minecraft fabric mod which automatically reconnects the client to the last known server after disconnection|85|1.16.2
**[AutoSwap](https://www.curseforge.com/minecraft/mc-mods/autoswap)**|Automatically swap stacks in the hotbar when they run out.|2,296|1.14.4
**[AutoSwitch [Fabric]](https://www.curseforge.com/minecraft/mc-mods/fabric-autoswitch)**|Automatic switching of tools when you perform an action.|21,641|1.16.2
**[Azuma](https://www.curseforge.com/minecraft/mc-mods/azuma)**|Azuma is a magical mod designed by Team Super People.|3,710|1.15.2
**[AzureDoom's Doom Mod [Fabric]](https://www.curseforge.com/minecraft/mc-mods/azuredooms-doom-mod-fabric)**|Adds content from Doom to Minecraft using Fabric API|377|1.16.2
**[AzureDooms Angel Ring [Fabric]](https://www.curseforge.com/minecraft/mc-mods/azuredooms-angel-ring-fabric)**|Adds an Angel Ring based on the Extra Utilities 2 Angel Ring and DenisMasterHerobrine's Angel Ring for Fabric.|135|1.16.2
**[AzureDooms Jar Jar [Fabric]](https://www.curseforge.com/minecraft/mc-mods/azuredooms-jar-jar-fabric)**|Adds in Jar Jar Binks to Minecraft with Fabric API!|106|1.16.2
**[B0N's Space Race Mod](https://www.curseforge.com/minecraft/mc-mods/b0ns-space-race-mod)**|Mod for your space racing needs|567|1.15.2
**[BackpackMod](https://www.curseforge.com/minecraft/mc-mods/backpackmod)**|Backpacks for Minecraft 1.16.2 (Fabric)|315|1.16.2
**[BackSlot](https://www.curseforge.com/minecraft/mc-mods/backslot)**|Keep your weapon always ready|765|1.16.2
**[Backstep](https://www.curseforge.com/minecraft/mc-mods/backstep)**|A fabric mod that adds pigstep to minecraft 1.15.2|54|1.15.2
**[Bacterium](https://www.curseforge.com/minecraft/mc-mods/bacterium)**|Bacteria to eat and reform your world.|1,464|1.16.2
**[Bad Anvil](https://www.curseforge.com/minecraft/mc-mods/bad-anvil)**|A mod that add a stone anvil that is bad|1,690|1.15-Snapshot
**[Balance of Exile](https://www.curseforge.com/minecraft/mc-mods/balance-of-exile)**|Anti Mob farm and anti mob cheese.|216|1.16.2
**[Bamboo Block [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/bamboo-block)**|Adds a bamboo building/compaction/fuel block, nothing else.|392|1.15.2
**[Bamboo Everything (Fabric)](https://www.curseforge.com/minecraft/mc-mods/bamboo-everything-fabric)**|Adds items/blocks made of bamboo|4,182|1.15.2
**[Bamboo Expanded](https://www.curseforge.com/minecraft/mc-mods/bamboo-expanded)**|Adds a new bamboo wood variant!|253|1.16.1
**[Bamboo Fences [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/bamboo-fences)**|Adds bamboo fences, and gates.|110|1.15.2
**[Bamboo Ladders (Fabric)](https://www.curseforge.com/minecraft/mc-mods/bamboo-ladders-fabric)**|Adds ladders made from bamboo|2,977|1.14.3
**[Bamboo Spikes [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/bamboo-spikes)**|Adds Bamboo Spikes to the game, nothing else.|553|1.15.2
**[Bamboo Tweaks: Fabric](https://www.curseforge.com/minecraft/mc-mods/bamboo-tweaks)**|More bamboo blocks, because bamboo is cool!|52,979|1.16.1
**[Banner Capes](https://www.curseforge.com/minecraft/mc-mods/banner-capes)**|Wear a banner as a cape|4,074|1.16.1
**[BannerElytra](https://www.curseforge.com/minecraft/mc-mods/bannerelytra)**|Display banners on your elytra!|6,064|1.14.4
**[Basic Nether Ores [Forge/Fabric]](https://www.curseforge.com/minecraft/mc-mods/basic-nether-ores)**|Spawns Vanilla and Modded Ores in the Nether|433,830|1.16.2
**[BattleMod: Fabric](https://www.curseforge.com/minecraft/mc-mods/battlemod)**|A server-side loot-focused battle-royal-esque combat mod!|104|1.15.2
**[Beach Slimes (Fabric)](https://www.curseforge.com/minecraft/mc-mods/beach-slimes)**|Bouncy prey for sticky piston lovers.|19,812|1.16.1
**[Beacon apples](https://www.curseforge.com/minecraft/mc-mods/beacon-apples)**|Lets you make an apple that will give you the effect of the beacons|278|1.14.4
**[BeaconFlight](https://www.curseforge.com/minecraft/mc-mods/beaconflight)**|Beacons can now allow survival flight!|4,253|1.14.4
**[Beacons For All (Fabric)](https://www.curseforge.com/minecraft/mc-mods/beacons-for-all-fabric)**|Allows beacons to affect more than just players, such as animals or mobs.|66|1.16.2
**[BedrockBreakHelper](https://www.curseforge.com/minecraft/mc-mods/bedrockbreakhelper)**|Let's break more bedrocks!|20|1.14.4
**[BedrockIfy](https://www.curseforge.com/minecraft/mc-mods/bedrockify)**|A mod that implements useful Minecraft Bedrock Edition features into Minecraft Java Edition|248|1.16.2
**[BedrockWaters](https://www.curseforge.com/minecraft/mc-mods/bedrockwaters)**|Ports over various biome water colors from Bedrock Edition!|2,062|1.16.2
**[Bedspreads (Fabric)](https://www.curseforge.com/minecraft/mc-mods/bedspreads-fabric)**|Allows players to add banner patterns to their beds!|17,292|1.16.2
**[Bee Angry-est](https://www.curseforge.com/minecraft/mc-mods/bee-angry-est)**|Tweaks to (angry) bees.|9,549|1.16.1
**[Bee Better](https://www.curseforge.com/minecraft/mc-mods/bee-better)**|Adds new features and tweaks related to bees.|9,557|1.15-Snapshot
**[Bee Fixed](https://www.curseforge.com/minecraft/mc-mods/bee-fixed)**|a mod to fix buggy Bee AI and movement|58|1.16.1
**[Bee Productive](https://www.curseforge.com/minecraft/mc-mods/bee-productive)**|More bee fucntionality for Fabric and Minecraft 1.15|10,925|1.15.2
**[Bee Resourceful](https://www.curseforge.com/minecraft/mc-mods/bee-resourceful)**|An addon for Bee Productive with mod support|6,814|1.15.1
**[Bee-in-a-Jar](https://www.curseforge.com/minecraft/mc-mods/bee-in-a-jar)**|A bee. A jar. A bee in a jar.|8,250|1.15-Snapshot
**[Beem 🐝](https://www.curseforge.com/minecraft/mc-mods/beem)**|A mod that displays light beams to help finding bee nests.|1,744|1.16.1
**[Beenfo](https://www.curseforge.com/minecraft/mc-mods/beenfo)**|Bee info - how many bees and how much honey is in a nest/hive?|39,001|1.16.2
**[benfah's Timber Mod](https://www.curseforge.com/minecraft/mc-mods/benfahs-timber-mod)**|Chop down trees with just one hit!|4,161|1.16-Snapshot
**[Bennite](https://www.curseforge.com/minecraft/mc-mods/bennite)**|Adds the divine Bennite resource to the game|12|1.15.2
**[Berry's Mod](https://www.curseforge.com/minecraft/mc-mods/berrys-mod)**|Adds berry-related items to Minecraft. Does not add physics gun made of berries.|2,142|1.15.1
**[Better Bedrock Generator [Fabric]](https://www.curseforge.com/minecraft/mc-mods/better-bedrock-generator-fabric)**|Makes the bedrock layer of your world flat|360|1.16.1
**[Better Beehives [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/better-beehives)**|Adds an iron apiary, all vanilla wood beehive variants, a hive analyzer, and nothing else.|10|1.15.2
**[Better Compass (Fabric)](https://www.curseforge.com/minecraft/mc-mods/better-compass-fabric)**|Let's you set where your compass points!|1,125|1.14.4
**[Better Diamond (Fabric)](https://www.curseforge.com/minecraft/mc-mods/better-diamond-fabric)**|the mod will improve the diamonds|6|1.16.1
**[Better Dropped Items](https://www.curseforge.com/minecraft/mc-mods/better-dropped-items)**|Improves the visual design of items dropped on the ground.|36,108|1.16.2
**[Better Eating Mod](https://www.curseforge.com/minecraft/mc-mods/better-eating-mod)**|Fixes an annoying eating problem with Minecraft|250|1.16.1
**[Better Enchanted Books (Fabric)](https://www.curseforge.com/minecraft/mc-mods/better-enchanted-books)**|Changes the looks of enchanted books and something else.|33,162|1.16.2
**[Better Graves](https://www.curseforge.com/minecraft/mc-mods/better-graves)**|Graves that save the layout of your inventory|27,243|1.16.2
**[Better minecart rotation (Fabric)](https://www.curseforge.com/minecraft/mc-mods/minecart-direction-follow)**|follows minecart's direction, like boats|1,847|1.16.2
**[Better Mod Button](https://www.curseforge.com/minecraft/mc-mods/better-mod-button)**|Fixes ModMenu's Mod Button's Spot|4,474|1.16.2
**[Better Respawn Anchor](https://www.curseforge.com/minecraft/mc-mods/better-respawn-mod)**|Adds stuff.|157|1.16-Snapshot
**[Better Signs & Frames](https://www.curseforge.com/minecraft/mc-mods/better-signs-and-frames)**|Sign Editor & Passthrough for your fabric server|12,524|1.16.1
**[Better Slabs](https://www.curseforge.com/minecraft/mc-mods/better-slabs)**|A Fabric mod for improving slabs.|65|1.16.2
**[Better Stones](https://www.curseforge.com/minecraft/mc-mods/better-stones)**|Do you hate andesite, diorite, and granite? Well, this fixes everything.|5,972|1.16.2
**[Better Than Mending](https://www.curseforge.com/minecraft/mc-mods/better-than-mending)**|A small quality of life tweak to the Mending enchantment|1,184,041|1.16.1
**[Better Together](https://www.curseforge.com/minecraft/mc-mods/better-together)**|Don't listen to the fish|1,539|1.14.4
**[Better Utilities](https://www.curseforge.com/minecraft/mc-mods/better-utilities)**|Mod that adds a bunch of stuff that may help you in your game|5,764|1.14.4
**[Better Wandering Traders](https://www.curseforge.com/minecraft/mc-mods/better-wandering-traders)**|A mod that replaces trades currently offered by the Wandering Trader with more useful and interesting trades.|10,283|1.16.2
**[Better Weather[Fabric]](https://www.curseforge.com/minecraft/mc-mods/better-weather-fabric)**|A mod adding new weather events!|586|1.16.2
**[Better Wither Skeletons](https://www.curseforge.com/minecraft/mc-mods/better-wither-skeletons)**|This mod adds withered bones, withered bone meal, withered bone blocks, and some useful crafting recipes to use with them!|12,212|1.16.1
**[Better World List](https://www.curseforge.com/minecraft/mc-mods/better-world-list)**|A mod adding a grid layout for the world list|1,243|1.16.2
**[BetterBamboo](https://www.curseforge.com/minecraft/mc-mods/betterbamboo)**|Some bamboo additions|2,160|1.14.2
**[BetterEnchants](https://www.curseforge.com/minecraft/mc-mods/betterenchants)**|Make your enchantment experience better - Designed for Fabric 1.16|323|1.16.1
**[BetterF3](https://www.curseforge.com/minecraft/mc-mods/betterf3)**|A mod that provides a highly customizable, more human-readable Debug HUD. |2,388|1.16.2
**[BetterNether](https://www.curseforge.com/minecraft/mc-mods/betternether)**|Improvements for the Nether (plants, biomes, structures, worldgen)|845,008|1.16.1
**[BetterSleeping](https://www.curseforge.com/minecraft/mc-mods/bettersleeping)**|Adds sleep voting, sleep recovery buffs, and no-sleep debuffs.|8,457|1.15.1
**[Beyond Vanilla](https://www.curseforge.com/minecraft/mc-mods/beyond-vanilla)**|Adds Vanilla-like features to the game without adding unnecessary recipes and items.|140|1.16.1
**[Big Buckets: Fabric Edition](https://www.curseforge.com/minecraft/mc-mods/bigbuckets-fabric)**|Want a bigger bucket? Get upgradable buckets that store more fluid.|11,341|1.16.2
**[Biome Picker](https://www.curseforge.com/minecraft/mc-mods/biome-picker)**|A Minecraft Fabric mod that lets you choose the biome you spawn in before creating a new world.|315|1.16.2
**[Biomechanics](https://www.curseforge.com/minecraft/mc-mods/biomechanics)**|Meat machines. Chimera abominations in a box!|611|1.16
**[BiomeInfo (Fabric)](https://www.curseforge.com/minecraft/mc-mods/biomeinfo-fabric)**|Shows the current biome, without F3 overlay enabled|2,187|1.15.1
**[BiomOre](https://www.curseforge.com/minecraft/mc-mods/biomore)**|A mod that changes ore generation by THICKENING ore veins but also distributing ore based on the biome|343|1.16.2
**[Black Ether Mod](https://www.curseforge.com/minecraft/mc-mods/black-ether-mod)**|a mod that adds tools and new ore|1,204|1.14.4
**[Blackstone Tools](https://www.curseforge.com/minecraft/mc-mods/blackstone-tools)**|Adds tools that are crafted with blackstone|3,078|1.16.1
**[Blast Processing](https://www.curseforge.com/minecraft/mc-mods/blast-processing)**|Gunpowder can be used as furnace fuel|1,429|1.16-Snapshot
**[BLAST 💣](https://www.curseforge.com/minecraft/mc-mods/blast)**|A mod about bombs.|12,747|1.16.1
**[Blip Block](https://www.curseforge.com/minecraft/mc-mods/blip-block)**|Adds a bunch of blocks|79|1.16.2
**[Blizzard](https://www.curseforge.com/minecraft/mc-mods/blizzard)**|A pure blizzard that covers the world in eternal snow.|134|1.15-Snapshot
**[Block Booster](https://www.curseforge.com/minecraft/mc-mods/block-booster)**|Adds a block which speeds up other blocks|1,268|1.14.3
**[Block Meter](https://www.curseforge.com/minecraft/mc-mods/block-meter)**|A simple mod to measure and count your blocks!|12,709|1.16.2
**[Block Ping](https://www.curseforge.com/minecraft/mc-mods/block-ping)**|Portal 2 like ping on blocks and entities|57|1.16.1
**[BlockMeterFabric](https://www.curseforge.com/minecraft/mc-mods/blockmeterfabric)**|A mod to measure block distances|8,317|1.16.2
**[Blockshifter [Fabric]](https://www.curseforge.com/minecraft/mc-mods/blockshifter)**|Adds rails that can shift blocks back and forth which can be used to build castle gates|1,922|1.16.2
**[Blocktastic](https://www.curseforge.com/minecraft/mc-mods/blocktastic)**|Adds Random Blocks|200|1.14.2
**[Blockus](https://www.curseforge.com/minecraft/mc-mods/blockus)**|A mod that mainly adds blocks!|113,125|1.16.2
**[Blood in the Water](https://www.curseforge.com/minecraft/mc-mods/blood-in-the-water)**|A mod that adds new and possibly deadly aquatic mobs to Minecraft!|306|1.15.2
**[Blorcart Economy](https://www.curseforge.com/minecraft/mc-mods/blorcart-economy)**|Mod necesario para la economia de blorcart|9|1.12.2
**[Blue Shiny Fire](https://www.curseforge.com/minecraft/mc-mods/blue-shiny-fire)**|Turn fire into soul fire by throwing in a diamond|82|1.16-Snapshot
**[BlueMap](https://www.curseforge.com/minecraft/mc-mods/bluemap)**|A mapping tool that creates 3D models of your Minecraft worlds and displays them in a web viewer|46|1.16.2
**[Blur (Fabric)](https://www.curseforge.com/minecraft/mc-mods/blur-fabric)**|Adds a blur effect to all GUI backgrounds - now for Fabric!|6,802|1.16.2
**[BoatFix](https://www.curseforge.com/minecraft/mc-mods/boatfix)**|Fixes small mobs drowning in boats in 1.16.1|587|1.16.1
**[Boosted Brightness](https://www.curseforge.com/minecraft/mc-mods/boosted-brightness)**|Allows you to set your brightness beyond default levels.|1,469|1.16
**[BootZ](https://www.curseforge.com/minecraft/mc-mods/bootz)**|Speed Boots|6,257|1.16.1
**[Borderless Mining](https://www.curseforge.com/minecraft/mc-mods/borderless-mining)**|Changes Fullscreen to use a borderless window.|13,051|1.16.2
**[Boring Backgrounds](https://www.curseforge.com/minecraft/mc-mods/boring-backgrounds)**|A Fabric mod that makes the dirt background customizable!|51,574|1.16.2
**[Boss Loot Tables](https://www.curseforge.com/minecraft/mc-mods/boss-loot-tables)**|Fixes the Wither loot table & may add more boss loot functionality down the line.|0|1.16
**[BottleFix (Fabric/Forge)](https://www.curseforge.com/minecraft/mc-mods/bottlefix-fabric-forge)**|Removes the source block when you fill a water bottle.|140|1.15-Snapshot
